n_frames,ball_present_frac,top2_speed_cms,rest_speed_cms,speed_ratio,mean_spacing_cm,centroid_vel_cms,sync_score,mean_hull_area,reaction_lag_frames,file,label,tactical_deviation
29,0.034482758620689655,238.2,97.7,2.44,227.8,270.2,0.097,117335.0,,Coordinated_Defense__videoplayback (1)_clip_082.csv,Coordinated Defense,1.716206574942425
29,0.6551724137931034,159.9,105.8,1.51,481.2,83.1,-0.105,52929.0,26.0,Coordinated_Defense__videoplayback (1)_clip_083.csv,Coordinated Defense,2.49984378527833
29,0.0,204.7,110.9,1.85,430.0,107.1,0.022,85007.0,,Coordinated_Defense__videoplayback (1)_clip_090.csv,Coordinated Defense,1.4790568730577616
29,0.0,206.4,87.2,2.37,470.3,119.4,0.069,25050.0,,Coordinated_Defense__videoplayback (1)_clip_098.csv,Coordinated Defense,2.2054585600490424
29,0.7586206896551724,264.3,65.9,4.01,503.3,177.2,0.23,7896.0,8.0,Coordinated_Defense__videoplayback (1)_clip_102.csv,Coordinated Defense,4.7104552552197685
29,0.0,176.9,89.7,1.97,431.6,75.4,-0.237,23377.0,,Coordinated_Defense__videoplayback (1)_clip_110.csv,Coordinated Defense,2.825404729959688
29,0.5517241379310345,226.9,123.4,1.84,401.7,148.1,-0.004,12663.0,,Coordinated_Defense__videoplayback (1)_clip_113.csv,Coordinated Defense,1.7554548049066916
29,0.5862068965517241,197.6,111.3,1.78,415.2,117.6,0.057,15923.0,10.0,Coordinated_Defense__videoplayback (1)_clip_117.csv,Coordinated Defense,1.7742522775958944
29,0.0,132.0,125.3,1.05,494.0,83.8,0.047,51350.0,,Coordinated_Defense__videoplayback (1)_clip_122.csv,Coordinated Defense,2.6529138580359217
29,0.4482758620689655,178.5,61.2,2.92,445.2,101.6,0.003,46235.0,13.0,Coordinated_Defense__videoplayback (1)_clip_123.csv,Coordinated Defense,2.665726485815532
29,0.4827586206896552,419.5,419.5,1.0,748.9,319.5,0.094,0.0,,Coordinated_Defense__videoplayback (1)_clip_124.csv,Coordinated Defense,7.099779729700456
29,1.0,168.0,52.8,3.18,234.3,99.6,0.096,95001.0,2.0,Coordinated_Defense__videoplayback (3)_clip_001.csv,Coordinated Defense,2.7532605804045653
29,1.0,388.9,142.3,2.73,297.8,406.1,0.041,70361.0,25.0,Coordinated_Defense__videoplayback (3)_clip_004.csv,Coordinated Defense,2.9850535000913583
29,0.5517241379310345,227.0,95.9,2.37,256.8,96.8,0.155,113274.0,-2.0,Coordinated_Defense__videoplayback (3)_clip_006.csv,Coordinated Defense,1.2340995187740558
29,0.8275862068965517,243.5,80.3,3.03,207.7,288.7,0.056,100938.0,12.0,Coordinated_Defense__videoplayback (3)_clip_007.csv,Coordinated Defense,2.4890534177143047
29,0.9310344827586207,161.7,103.9,1.56,276.0,116.9,0.016,110659.0,6.0,Coordinated_Defense__videoplayback (3)_clip_009.csv,Coordinated Defense,1.33904193960693
29,0.5517241379310345,182.6,115.9,1.58,299.4,106.2,-0.039,123677.0,14.0,Coordinated_Defense__videoplayback (3)_clip_010.csv,Coordinated Defense,1.4008688613677105
29,0.6206896551724138,227.3,90.8,2.5,238.7,86.2,0.02,114912.0,6.0,Coordinated_Defense__videoplayback (3)_clip_012.csv,Coordinated Defense,1.2789753239451935
29,0.896551724137931,248.7,111.0,2.24,240.0,116.5,0.004,91387.0,18.0,Coordinated_Defense__videoplayback (3)_clip_013.csv,Coordinated Defense,1.1701214931747221
29,0.7586206896551724,213.8,85.4,2.5,247.0,120.1,-0.056,56583.0,,Coordinated_Defense__videoplayback (3)_clip_015.csv,Coordinated Defense,1.7010202423968306
29,0.7241379310344828,258.0,100.7,2.56,264.3,208.2,0.021,111580.0,26.0,Coordinated_Defense__videoplayback (3)_clip_016.csv,Coordinated Defense,1.0276248361755
29,0.896551724137931,191.1,69.7,2.74,245.7,107.5,-0.049,98711.0,5.0,Coordinated_Defense__videoplayback (3)_clip_018.csv,Coordinated Defense,1.7129483767464035
29,0.896551724137931,305.0,100.1,3.05,273.7,443.6,0.005,136497.0,20.0,Coordinated_Defense__videoplayback (3)_clip_019.csv,Coordinated Defense,3.6769858519765815
29,1.0,202.6,104.8,1.93,241.7,100.5,0.255,179784.0,20.0,Coordinated_Defense__videoplayback (3)_clip_020.csv,Coordinated Defense,2.2342563157981985
29,0.9310344827586207,316.5,168.2,1.88,235.5,183.1,0.16,111263.0,20.0,Coordinated_Defense__videoplayback (3)_clip_022.csv,Coordinated Defense,1.5121121811729108
29,1.0,132.8,83.9,1.58,187.4,67.3,-0.002,129153.0,8.0,Coordinated_Defense__videoplayback (3)_clip_023.csv,Coordinated Defense,2.009419567506918
29,0.8275862068965517,372.0,104.2,3.57,179.9,263.4,0.029,110555.0,3.0,Coordinated_Defense__videoplayback (3)_clip_024.csv,Coordinated Defense,2.8596623594122526
29,0.9655172413793104,121.5,61.8,1.97,222.8,39.0,0.049,84629.0,25.0,Coordinated_Defense__videoplayback (3)_clip_026.csv,Coordinated Defense,1.854342895665719
29,0.7241379310344828,189.0,96.9,1.95,233.4,234.0,0.116,121950.0,1.0,Coordinated_Defense__videoplayback (3)_clip_027.csv,Coordinated Defense,1.7110423069041352
29,0.8620689655172413,188.6,86.4,2.18,211.6,71.9,0.053,121105.0,13.0,Coordinated_Defense__videoplayback (3)_clip_030.csv,Coordinated Defense,1.405975579087479
29,0.9310344827586207,273.9,103.5,2.65,299.7,116.6,0.131,187870.0,7.0,Coordinated_Defense__videoplayback (3)_clip_031.csv,Coordinated Defense,1.814871912520362
29,1.0,119.7,51.9,2.31,168.9,37.0,0.002,101823.0,9.0,Coordinated_Defense__videoplayback (3)_clip_033.csv,Coordinated Defense,2.2429296358196407
